b0,b1,b2,b3,b4,b5
128,0,20,0,2,32
0,85,0,8,8,1
65,64,34,34,5,85
80,128,0,148,0,22
32,2,117,0,93,8
9,73,65,99,98,39
119,85,213,80,20,0
130,32,20,85,2,40
8,84,65,72,42,35
68,21,114,162,5,193
80,150,32,150,117,22
125,10,124,73,28,107
107,110,54,54,183,119
99,85,87,112,0,85
128,8,28,1,67,96
34,119,5,93,88,129
65,212,34,52,37,87
37,128,93,156,9,95
97,97,23,39,42,93
220,25,85,99,224,7
99,0,215,120,28,84
195,104,62,118,70,61
122,246,68,137,122,181
100,131,7,180,120,203
44,223,60,253,30,120
75,60,203,62,127,62
60,30,54,99,55,127
127,84,20,16,34,34
133,85,68,128,2,180
0,67,32,10,125,1
28,72,43,107,68,54
50,167,119,193,213,70
52,2,247,32,73,93
11,97,73,55,35,111
93,118,145,69,102,162
135,225,68,195,34,190
125,66,60,66,86,106
88,126,25,204,51,247
231,225,67,195,34,102
125,95,252,65,0,106
40,14,20,65,178,42
59,212,22,164,34,97
165,95,57,129,30,252
43,40,100,60,79,166
107,137,254,45,112,52
197,135,62,156,222,39
125,53,212,79,20,43
154,36,47,149,164,142
25,181,179,251,27,224
187,163,18,169,122,192
100,142,15,181,177,139
27,189,59,170,78,168
27,160,67,169,10,104
105,30,78,107,59,190
62,170,54,32,23,117
2,85,8,88,9,73
193,99,118,39,117,117
213,5,20,8,138,33
85,21,32,10,13,1
17,200,42,183,68,3
82,160,112,193,13,158
41,223,52,117,31,45
11,28,201,59,127,110
180,22,163,34,97,125
95,36,65,29,170,43
88,20,49,194,39,182
85,203,120,23,52,194
95,62,89,30,57,235
54,242,63,105,214,22
116,114,125,45,220,76
213,107,252,6,32,96
245,15,25,9,155,233
127,162,100,9,95,161
97,9,39,41,109,220
102,213,111,236,6,130
224,228,75,27,171,59
168,62,168,70,32,74
245,11,9,9,57,105
110,230,102,171,255,224
32,3,5,0,120,136
12,213,65,252,2,48
96,87,143,8,77,153
75,223,227,37,3,125
136,116,93,77,41,67
204,98,103,239,95,194
145,6,70,168,250,224
88,139,9,213,57,116
14,229,33,171,141,56
45,206,196,215,174,188
72,162,107,81,94,48
161,55,145,47,78,172
147,160,246,233,25,106
107,230,30,35,243,53
97,255,7,48,24,223
131,221,12,101,73,239
131,114,140,117,197,237
22,146,202,102,207,31
239,155,2,143,184,69
138,202,157,15,7,73
152,211,127,220,244,5
121,32,132,237,20,186
202,50,143,23,197,154
70,159,154,231,15,139
217,141,37,253,205,144
87,222,136,69,37,74
141,131,5,220,120,149
108,214,6,252,112,232
109,154,78,223,155,173
15,168,201,136,95,125
73,20,67,106,42,118
20,29,114,35,69,213
114,148,5,198,32,150
245,22,105,10,126,105
28,62,107,102,62,55
246,55,65,119,82,37
80,213,128,156,28,23
99,98,87,119,88,85
81,200,0,183,64,19
82,2,240,208,73,156
139,127,117,52,21,15
34,9,157,81,127,64
164,18,17,162,210,185
76,194,227,254,75,96
59,55,6,191,88,226
17,219,82,181,176,195
27,158,123,175,60,168
158,112,87,61,136,94
93,73,57,67,110,226
118,171,93,96,49,71
7,162,216,201,77,223
99,213,23,100,10,87
161,24,73,43,203,108
39,54,229,223,107,149
22,46,10,116,177,29
51,171,79,232,51,130
71,236,90,194,233,142
74,125,187,28,90,187
105,130,182,124,67,124
106,116,110,29,46,179
76,163,243,241,97,225
167,51,57,223,254,245
0,41,8,4,105,64
174,98,16,191,82,146
16,198,210,158,236,199
42,254,220,8,45,97
68,199,34,190,221,66
45,66,84,194,88,62
89,198,57,246,246,241
105,105,166,102,121,255
252,240,0,121,128,12
252,1,248,96,48,207
7,159,152,207,15,223
153,133,15,252,137,128
117,124,13,4,97,200
175,55,80,159,80,151
16,150,90,150,121,134
124,252,252,120,120,108
204,206,255,255,168,0
8,64,1,74,0,35
16,5,122,128,132,132
20,180,162,51,49,87
255,160,64,9,10,1
105,16,38,106,133,254
4,144,48,182,135,147
100,206,247,191,169,74
8,99,17,79,122,163
148,129,110,52,38,183
37,227,93,147,113,94
245,161,41,25,44,107
236,238,34,250,181,72
131,3,84,120,112,44
205,132,255,220,184,5
114,192,133,206,20,151
178,54,75,215,123,36
84,189,168,50,88,71
217,202,197,247,14,145
89,166,161,249,225,48
243,47,153,252,143,240
117,129,141,28,61,203
102,87,55,248,95,64
201,18,31,106,211,22
12,250,113,248,157,176
215,91,156,81,175,104
184,150,82,214,120,204
124,223,236,125,2,236
72,74,235,75,10,51
57,23,254,234,64,42
26,4,19,144,162,238
145,74,166,163,1,225
120,51,36,199,253,190
192,90,46,9,148,177
126,51,164,55,233,167
66,121,210,92,244,217
121,61,228,238,83,186
184,234,130,218,4,77
144,171,222,144,37,38
133,141,228,157,211,183
84,235,80,58,48,134
151,148,230,78,59,251
182,160,171,97,16,55
42,135,92,4,209,96
188,167,18,113,218,221
181,141,91,29,193,187
86,58,176,118,131,141
100,109,199,174,214,200
172,111,80,238,144,154
166,151,129,230,76,51
251,231,224,163,195,17
102,122,167,252,129,192
116,54,13,39,113,205
213,183,212,27,68,35
178,165,107,193,134,38
60,245,246,121,17,124
234,164,122,1,172,144
56,246,134,217,100,237
231,186,211,202,140,231
5,251,216,144,165,214
145,148,102,190,47,226
52,131,87,52,112,95
45,137,28,221,107,125
70,52,66,247,42,73
92,27,97,99,183,39
107,93,214,49,84,119
160,45,73,4,195,104
190,118,82,61,120,214
68,220,122,189,108,130
70,244,90,233,41,138
108,125,30,236,75,42
235,60,10,62,97,22
63,42,118,28,29,115
99,69,247,114,145,85
198,160,22,225,2,107
40,94,60,73,54,107
111,126,54,148,55,102
39,87,245,208,65,20
138,42,53,20,23,10
34,89,21,89,234,1
242,16,49,210,135,180
196,203,62,191,62,34
30,53,83,55,0,255
88,24,17,195,194,182
102,67,127,250,116,0
157,32,23,77,2,83
200,88,231,73,219,211
117,164,245,25,185,11
250,233,32,138,109,21
30,202,11,47,17,60
154,174,119,128,189,76
18,67,226,218,99,77
159,115,223,21,229,26
19,139,146,237,46,202
204,175,15,240,153,129
151,252,62,64,102,58
15,246,145,129,102,188
39,226,101,195,95,150
113,14,125,169,188,88
122,105,204,158,119,247
61,65,94,66,33,58
85,46,152,12,167,193
241,198,49,182,247,187
105,74,182,99,3,127
120,116,20,205,34,63
205,86,7,192,112,198
13,158,241,223,41,181
28,123,11,108,185,54
242,239,105,202,150,119
6,125,88,252,65,216
106,53,206,23,23,178
90,75,217,155,37,255
189,144,10,94,129,25
36,43,237,164,34,217
165,77,249,131,208,252
100,152,111,183,206,139
71,165,50,201,143,207
125,135,148,92,206,41
127,180,100,11,47,161
60,137,46,117,108,189
6,242,72,233,219,90
117,177,157,27,191,75
170,19,40,18,252,66
200,106,79,78,27,147
179,174,235,232,170,34
80,21,88,130,1,212
80,52,40,135,36,84
221,168,61,88,70,65
202,250,55,8,151,89
86,81,224,120,179,12
211,249,252,224,240,123
25,140,187,253,242,160
81,193,8,182,41,83
116,96,245,47,25,12
155,233,247,162,113,73
93,163,97,89,119,33
229,93,51,129,79,236
35,130,229,108,75,134
235,44,234,60,250,22
120,146,124,214,220,124
109,108,110,198,238,174
234,160,170,1,16,16
42,130,132,4,68,160
170,177,16,3,170,128
104,4,14,64,161,186
17,58,146,174,134,192
164,238,17,186,178,186
131,194,132,102,68,175
250,176,128,131,148,20
110,34,46,181,84,163
0,49,120,7,164,192
201,190,31,122,51,20
151,250,54,64,151,122
22,84,146,120,54,220
199,109,126,214,196,44
110,164,238,161,186,161
58,129,46,132,44,164
164,241,177,185,187,186
250,170,136,128,5,84
0,128,32,20,5,2
32,136,85,21,72,10
3,65,16,114,42,141
212,5,212,32,148,37
22,37,138,117,157,29
31,75,75,19,51,58
255,254,136,0,37,64
5,130,0,156,80,23
104,130,86,84,88,120
41,204,196,119,254,173
64,32,194,5,30,80
139,56,149,62,214,14
44,113,180,237,187,58
218,190,141,130,37,220
85,149,104,30,6,67
48,250,127,152,156,15
215,97,132,87,60,168
94,112,73,61,139,110
93,54,185,79,98,227
151,75,110,83,54,184
255,98,216,23,77,194
83,214,88,228,121,219
172,245,168,249,24,88
235,201,218,39,117,149
213,30,20,11,50,33
63,213,46,4,12,176
161,243,145,49,238,175
178,160,139,193,21,38
42,13,244,17,209,34
180,173,67,48,194,127
158,92,15,57,97,158
231,63,43,222,28,37
51,101,143,247,157,129
79,92,35,145,101,110
167,134,161,204,225,55
251,47,64,188,146,18
118,210,221,108,205,70
255,194,232,6,74,64
251,26,24,187,147,210
174,228,192,171,190,16
42,50,132,23,196,162
70,177,90,227,161,139
105,61,54,110,79,126
187,148,34,174,37,64
181,130,19,28,82,251
104,200,182,95,83,121
16,244,234,153,58,7
238,144,194,166,158,65
231,58,51,222,151,229
38,67,141,250,109,208
158,212,151,44,54,92
231,121,123,212,228,164
59,177,166,171,185,224
42,243,4,9,248,161
112,209,37,156,173,159
112,223,21,157,26,31
75,147,19,46,250,252
168,136,112,85,77,136
3,221,64,101,66,15
130,81,140,88,189,233
210,82,116,216,221,61
221,78,85,67,184,2
106,192,94,14,9,49
177,111,187,166,138,169
229,0,115,136,13,237
65,210,194,52,206,87
63,184,94,10,201,49
15,111,169,150,136,126
101,76,63,131,230,12
99,241,239,97,178,151
59,198,94,166,249,33
232,237,50,90,207,217
143,133,253,140,144,93
246,137,81,101,96,167
135,17,204,218,183,253
131,64,92,114,9,109
209,102,212,167,236,49
194,231,182,75,203,123
39,52,189,223,50,85
31,216,11,5,193,56
150,46,214,116,172,125
48,236,79,154,235,143
138,45,141,20,221,202
61,87,22,64,90,122
9,156,145,127,118,164
21,97,162,7,57,80
222,224,157,43,23,76
58,83,230,152,227,231
219,99,197,183,102,155
87,231,176,67,203,138
103,45,31,220,203,5
127,56,132,30,212,163
44,49,124,231,164,123
201,172,167,120,241,212
217,180,61,251,38,80
189,248,146,80,214,216
156,109,215,110,212,86
172,40,96,228,79,27
171,155,168,47,168,68
136,74,181,75,3,3
56,120,126,204,204,47
255,228,128,3,180,0
107,32,14,61,1,182
72,59,123,70,180,178
227,51,203,127,231,52
3,223,32,101,29,15
139,73,141,51,125,207
244,87,129,40,76,44
75,228,235,35,186,61
106,150,70,6,122,240
252,137,152,117,127,205
4,7,200,160,199,81
30,208,171,44,144,60
246,134,121,100,252,231
184,123,202,204,167,15
241,217,129,181,252,59
16,102,186,143,226,133
131,68,156,114,183,109
195,86,214,112,108,125
142,236,93,170,233,88
10,97,193,31,54,43
31,116,59,21,38,186
13,226,145,211,70,180
242,227,57,203,126,247
52,41,95,36,97,29
175,43,88,156,49,215
103,180,87,203,40,71
60,74,222,107,13,62
57,206,54,247,183,105
75,86,99,48,127,127
140,20,13,226,33,211
85,52,240,15,57,129
158,252,63,40,102,28
79,243,107,129,246,44
49,116,231,165,59,201
142,167,125,161,212,89
52,41,239,36,114,157
173,199,88,214,209,220
108,181,110,243,6,169
248,224,112,219,13,157
185,223,90,245,17,137
10,189,105,2,70,104
90,254,73,136,59,125
70,180,66,227,42,75
124,27,52,99,191,47
106,28,150,19,118,114
245,125,201,4,87,104
168,86,80,72,120,139
76,213,51,252,15,224
97,131,15,60,121,158
108,255,62,248,30,40
195,52,94,127,41,60
28,110,99,110,191,118
162,21,97,82,7,32
208,221,28,157,75,119
67,53,82,127,0,220
24,29,99,195,71,102
114,215,253,204,64,87
234,8,66,17,74,82
163,24,193,123,222,36
165,53,177,143,27,189
155,170,95,168,25,8
67,233,74,98,99,31
95,123,17,20,186,170
50,128,23,196,2,70
160,90,225,9,139,41
125,60,100,78,111,171
190,136,42,37,68,21
130,162,28,65,83,106
32,246,21,25,114,11
229,209,35,148,173,110
48,198,183,158,227,79
43,115,156,53,239,103
18,151,218,198,69,142
250,157,168,135,88,84
209,200,60,183,70,115
82,253,240,200,81,159
72,191,19,82,26,240
211,137,156,237,127,122
196,20,142,162,53,161
87,25,32,91,237,9
162,201,121,79,100,227
151,187,110,74,182,187
3,98,184,119,66,205
