b0,b1,b2,b3,b4,b5
128,0,6,0,0,40
0,1,224,0,8,128
0,102,0,2,168,0
31,224,0,128,128,6
6,0,40,40,1,225
224,8,136,128,102,102
2,170,168,31,255,224
128,0,134,0,6,40
0,41,224,1,232,128
8,230,0,100,168,2
183,224,31,96,128,134
134,6,46,40,41,201
225,233,104,136,238,230
100,204,170,181,87,255
127,224,6,0,128,40
6,1,224,40,8,129
224,102,8,130,168,102
31,226,168,128,159,230
6,128,168,46,7,225
200,32,137,97,134,110
138,42,206,121,253,74
40,31,121,224,134,40
134,41,230,41,232,169
232,231,232,228,160,228
183,132,183,98,55,102
153,102,174,174,175,207
207,193,65,65,15,15
12,68,68,83,51,51
213,85,81,255,255,200
0,1,96,0,14,128
0,78,0,3,72,0
23,96,0,230,128,4
174,0,55,200,1,97
96,14,142,128,78,78
3,75,72,23,119,96
230,102,132,170,174,55
255,201,96,1,110,128
14,206,0,77,72,3
95,96,23,134,128,226
46,4,153,200,54,169
97,111,238,142,192,206
77,5,75,92,63,119
145,6,98,204,42,157
81,254,159,200,14,129
96,78,14,131,72,78
23,99,72,230,151,100
174,230,183,204,175,97
87,198,143,225,46,64
141,203,6,89,116,43
174,113,243,202,72,81
123,99,206,54,145,73
110,207,110,205,70,205
95,45,95,133,223,130
57,130,25,42,24,173
248,167,216,39,161,161
163,139,139,146,114,114
218,90,93,187,187,155
51,50,181,85,95,127
255,134,0,2,40,0
25,224,0,168,128,7
230,0,32,168,1,135
224,10,32,128,121,134
2,42,40,25,249,224
168,40,135,225,230,32
136,169,134,103,234,42
160,249,255,132,40,2
49,224,25,72,128,175
102,7,198,168,33,47
225,141,192,138,89,6
123,172,42,51,209,249
81,200,47,201,97,193
110,137,14,206,108,77
74,211,95,125,215,134
25,226,40,168,153,231
230,168,160,175,231,135
192,162,33,7,153,140
34,170,81,159,251,202
128,49,126,1,78,8
15,72,96,71,98,131
38,158,21,174,136,251
206,100,49,74,177,79
127,79,70,7,71,40
39,37,225,165,184,139
187,38,115,53,170,85
123,251,254,48,48,9
65,64,111,15,2,196
68,29,51,48,157,85
70,159,255,46,128,5
206,0,57,72,1,47
96,13,198,128,89,46
3,173,200,19,217,96
209,174,133,203,206,57
113,73,46,79,109,203
70,217,119,45,174,101
219,202,185,177,127,43
78,5,247,72,56,103
97,34,166,141,159,174
90,131,203,190,17,115
8,206,84,101,75,242
191,112,95,6,67,132
43,18,49,244,217,72
117,175,98,123,198,154
49,46,185,77,207,47
89,69,199,175,57,35
197,45,145,61,218,205
25,189,92,171,31,151
244,130,224,118,28,130
104,150,26,230,232,188
172,231,23,212,164,225
247,180,136,99,118,98
150,106,158,234,254,140
252,14,84,16,75,240
195,112,69,22,67,60
235,21,20,244,252,244
116,20,114,112,242,90
68,91,187,51,179,53
83,85,127,215,254,1
224,8,8,128,96,102
2,130,168,30,31,224
136,128,134,102,6,42
168,41,255,225,232,0
136,224,6,100,128,42
182,1,255,104,8,6
224,96,44,130,129,214
30,9,232,136,104,230
98,228,170,156,183,254
151,96,14,230,128,76
174,3,87,200,23,225
96,224,142,132,134,78
54,43,73,105,247,110
232,102,204,226,173,84
159,223,246,129,128,110
10,2,200,120,29,98
32,158,153,134,142,170
46,79,249,203,64,41
119,1,238,100,8,202
176,101,127,66,190,7
31,8,36,132,97,182
50,139,105,94,118,239
138,108,194,122,213,26
61,252,185,24,23,44
160,229,215,132,185,226
55,40,153,101,230,174
184,175,207,39,193,69
161,15,59,140,69,50
83,61,91,213,31,177
252,131,72,22,23,96
232,230,132,228,174,52
183,201,119,97,110,102
142,202,174,77,127,203
94,1,119,136,14,98
96,74,154,131,126,190
22,15,8,232,68,100
227,50,180,149,95,118
255,134,108,2,42,208
25,253,192,168,25,7
224,172,32,135,209,134
33,202,41,137,121,234
110,40,250,201,228,61
104,177,30,231,76,140
167,86,87,167,235,227
160,240,147,132,70,210
51,45,217,85,217,175
249,171,192,43,241,1
240,76,8,67,80,99
23,194,148,225,30,244
140,140,118,86,82,107
235,218,240,241,188,68
75,19,51,116,213,86
117,255,234,120,0,250
32,4,57,128,49,42
1,77,248,15,88,32
71,161,131,35,138,21
146,120,250,218,36,61
185,177,27,43,76,181
247,87,120,103,230,34
160,169,159,135,234,130
32,254,25,132,8,170
48,103,249,66,160,47
31,129,196,130,9,54
24,109,104,162,222,231
157,140,162,154,87,158
187,226,143,48,158,69
70,139,63,46,117,5
202,124,57,122,17,46
56,205,201,37,89,109
191,174,219,3,205,180
17,91,112,207,182,69
67,107,63,22,245,4
236,124,52,210,17,117
216,206,121,165,74,43
191,121,243,6,40,84
41,227,241,232,144,72
230,195,100,173,22,183
220,239,97,148,198,138
245,46,124,125,202,18
25,120,216,174,37,167
201,187,161,107,51,142
245,82,76,127,219,82
1,183,216,11,97,160
118,139,130,110,114,26
202,88,189,123,167,30
51,164,137,83,182,111
211,106,193,214,253,9
236,28,104,208,146,229
198,220,185,45,151,45
218,229,217,188,185,171
23,43,244,229,240,116
184,66,119,35,26,101
148,186,186,247,63,60
101,5,18,188,60,223
17,21,132,204,250,53
84,57,127,241,46,0
77,200,3,89,96,23
174,128,227,206,4,145
72,54,207,97,109,70
142,223,46,77,133,203
90,57,119,185,46,99
45,202,149,217,126,249
174,12,43,200,81,241
99,200,78,145,99,78
206,151,77,78,231,95
76,167,135,87,162,39
227,153,160,146,171,134
223,242,45,128,89,218
3,169,184,19,235,32
208,245,133,196,122,57
50,57,45,89,45,223
173,217,131,217,170,17
171,248,203,240,37,112
65,190,67,11,11,20
116,116,242,114,116,90
90,115,187,186,83,51
59,213,85,49,255,253
72,0,31,96,0,134
128,6,46,0,41,200
1,233,96,8,238,128
