b0,b1,b2,b3,b4,b5
128,1,0,2,0,4
0,8,0,16,0,32
0,64,0,128,1,0
2,64,6,128,9,0
26,0,36,0,104,0
144,1,160,2,64,6
128,9,32,26,64,44
128,121,0,146,1,164
2,200,7,144,9,32
26,64,44,144,121,160
150,65,142,130,201,7
154,9,100,24,232,44
144,121,160,150,73,142
146,201,39,154,73,228
153,233,46,146,125,164
150,73,142,146,201,35
154,97,228,137,233,142
210,63,38,23,72,132
152,201,35,154,97,228
139,233,138,210,183,39
7,104,164,216,129,171
11,112,228,139,233,138
210,182,39,13,104,224
218,41,187,27,208,64
207,131,32,82,182,39
13,104,224,90,40,187
25,208,68,207,139,32
66,182,7,13,168,225
90,42,187,29,144,78
79,154,32,104,182,67
13,0,224,74,40,91
27,16,71,79,128,0
76,246,35,141,129,225
232,42,31,29,24,79
127,154,64,96,118,90
157,19,64,72,104,253
154,137,70,85,128,68
78,78,35,61,133,1
198,226,52,141,19,111
49,216,44,227,223,88
159,23,76,72,112,253
170,137,34,213,105,197
221,77,133,123,195,135
71,227,62,131,19,67
49,224,44,81,159,190
93,92,206,211,91,215
224,193,170,68,122,197
219,77,9,122,90,166
125,131,18,73,98,202
176,81,136,21,245,21
221,87,206,157,89,59
114,120,26,242,158,15
53,175,163,234,90,134
125,195,18,201,99,202
178,17,142,149,252,21
199,87,106,156,49,57
98,124,186,250,222,29
181,142,131,160,26,10
252,250,16,155,101,238
187,153,149,133,216,53
175,23,242,13,128,155
36,58,20,115,119,6
239,162,71,219,178,152
237,94,178,87,42,84
34,184,175,207,180,97
85,30,102,78,10,29
237,53,142,106,19,58
7,230,87,51,19,172
230,150,166,31,12,196
97,92,50,38,178,243
58,186,84,71,78,12
181,55,62,65,191,59
127,121,133,14,53,191
174,155,63,204,15,58
66,88,33,78,137,133
201,247,249,175,235,212
62,156,113,179,242,160
132,83,247,252,112,24
86,123,197,229,116,32
18,27,238,203,233,217
255,201,244,253,11,234
22,79,104,115,182,143
13,179,182,202,124,53
240,218,187,79,230,61
48,85,5,81,65,176
121,138,153,245,43,185
174,7,211,97,177,102
12,42,251,38,95,252
115,131,83,213,253,192
6,210,81,91,10,240
65,146,104,101,194,243
196,254,69,232,239,51
188,110,209,232,149,64
101,129,51,113,143,203
148,188,106,141,38,63
158,242,247,192,206,93
118,72,109,250,230,204
159,227,132,52,3,59
160,6,248,147,40,105
189,159,119,167,123,231
128,253,14,216,106,37
173,148,141,117,78,100
119,159,239,207,238,139
20,66,47,128,58,0
223,21,199,118,242,242
119,168,213,15,173,184
238,175,91,12,60,148
249,148,122,104,13,115
206,229,114,9,104,69
61,230,119,53,122,67
130,53,9,72,227,4
183,214,161,225,55,204
97,207,97,111,39,200
142,195,74,136,208,76
73,172,110,96,160,124
195,33,156,21,125,93
205,68,17,152,169,57
223,198,20,212,4,47
212,31,183,62,195,47
104,48,88,144,41,35
52,164,84,226,29,129
168,253,206,164,99,66
148,254,163,25,255,29
191,44,131,149,67,35
44,249,160,31,24,251
165,83,125,48,114,176
21,188,214,123,248,219
160,110,147,146,55,136
113,185,95,252,57,72
219,35,24,110,66,175
124,149,123,66,235,67
200,86,229,181,105,86
122,29,14,1,132,91
136,65,72,177,240,128
9,162,116,223,62,121
183,2,111,17,183,215
69,255,158,242,33,118
116,218,184,160,53,120
245,237,245,135,104,6
108,198,172,16,32,213
192,53,66,145,101,98
86,94,193,101,27,93
175,69,34,3,144,11
26,85,172,202,241,111
135,4,202,102,3,133
88,171,56,213,33,200
75,205,154,62,82,27
242,192,182,127,72,28
172,152,156,151,84,101
205,72,149,56,206,170
87,183,187,13,139,208
155,159,21,110,155,153
207,208,201,19,100,128
71,223,87,106,65,70
81,101,255,180,171,100
78,218,139,33,12,29
6,239,99,45,209,113
194,143,104,245,249,191
39,95,214,143,141,62
177,194,125,40,62,87
94,219,76,202,81,163
94,202,81,197,196,193
167,98,107,140,136,143
178,119,3,109,213,140
153,161,120,79,241,107
80,210,215,170,130,212
252,218,115,78,251,121
234,60,186,58,119,21
43,182,248,21,188,227
19,49,204,85,140,104
209,50,34,123,151,158
118,2,118,253,138,61
38,188,186,192,169,186
100,161,155,199,240,239
187,45,144,206,84,244
188,216,238,80,242,164
250,116,247,210,43,168
248,191,54,225,145,58
175,44,20,96,187,239
54,155,96,94,142,128
83,249,243,114,213,192
81,2,228,28,100,32
221,142,165,65,147,37
66,215,248,74,87,192
246,43,172,48,95,38
195,215,227,86,210,84
113,214,56,25,221,1
57,113,164,27,213,4
200,75,198,170,174,82
123,7,24,164,179,127
152,202,140,155,163,233
177,54,80,102,145,70
11,166,143,86,87,143
38,172,169,228,254,166
252,185,45,47,134,6
83,221,42,216,194,40
76,202,124,124,20,137
13,104,123,72,60,202
235,34,39,205,138,123
187,27,154,118,233,106
26,20,45,45,55,210
98,30,180,105,36,175
143,33,6,216,67,55
158,46,244,57,58,112
4,57,156,195,105,113
